# Logfile created on 2026-03-29 22:05:04 +0200 by logger.rb/v1.5.3
2026-03-29 22:05:04 +0200: Memory Usage (437704K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/top/IHP_3421.gds
2026-03-29 22:05:04 +0200: Memory Usage (437704K) : Ruby Version for klayout: 3.2.3
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : Loading database to memory is complete.
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/top/drc_run_2026_03_29_20_04_57/IHP_3421_SoC3421_metal1.lyrdb
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : Evaluate switches.
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : tables selected: metal1
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : KLayout will use 32 thread(s) in tiling mode.
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : deep mode is enabled.
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : FEOL enabled: false
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : BEOL enabled: false
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : OFFGRID enabled: false
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : PIN enabled: false
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : FORBIDDEN enabled: false
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : RECOMMENDED enabled: false
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : PreCheck DRC enabled: true
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : CONNECTIVITY_RULES enabled: false.
2026-03-29 22:05:05 +0200: Memory Usage (462280K) : Read in polygons from layers.
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_drw has 25251 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_pin has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_mask has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_filler has 22189 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_nofill has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_opc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_iopc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : activ_noqrc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : biwind_drw has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : biwind_opc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464072K) : pemwind_drw has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464200K) : gatpoly_drw has 23080 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464200K) : gatpoly_pin has 98 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464200K) : gatpoly_filler has 22189 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464328K) : gatpoly_nofill has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464328K) : gatpoly_opc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464328K) : gatpoly_iopc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (464328K) : gatpoly_noqrc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477000K) : cont_drw has 2239726 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477000K) : cont_opc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477000K) : nsd_drw has 84 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477000K) : nsd_block has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477128K) : metal1_drw has 44630 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477128K) : metal1_pin has 17607 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477128K) : metal1_mask has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477128K) : metal1_filler has 27328 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477128K) : metal1_nofill has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477128K) : metal1_slit has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477256K) : metal1_text has 16171 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477256K) : metal1_opc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477256K) : metal1_noqrc has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477256K) : metal1_res has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477256K) : metal1_iprobe has 0 polygons
2026-03-29 22:05:05 +0200: Memory Usage (477256K) : metal1_diffprb has 0 polygons
2026-03-29 22:05:06 +0200: Memory Usage (477256K) : passiv_drw has 32 polygons
2026-03-29 22:05:06 +0200: Memory Usage (477256K) : passiv_pin has 0 polygons
2026-03-29 22:05:06 +0200: Memory Usage (477256K) : passiv_sbump has 0 polygons
2026-03-29 22:05:06 +0200: Memory Usage (477256K) : passiv_pillar has 0 polygons
2026-03-29 22:05:06 +0200: Memory Usage (477256K) : passiv_pdl has 0 polygons
2026-03-29 22:05:06 +0200: Memory Usage (477256K) : metal2_drw has 20078 polygons
