# Logfile created on 2026-03-28 23:09:17 +0100 by logger.rb/v1.5.3
2026-03-28 23:09:17 +0100: Memory Usage (437680K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/top/final_gds.gds
2026-03-28 23:09:17 +0100: Memory Usage (437680K) : Ruby Version for klayout: 3.2.3
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : Loading database to memory is complete.
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/top/drc_run_digital_block_top/final_gds_digital_block_top_main.lyrdb
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : Evaluate switches.
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : tables selected: main
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : deep mode is enabled.
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : FEOL enabled: true
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : BEOL enabled: true
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : OFFGRID enabled: true
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : PIN enabled: true
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : FORBIDDEN enabled: true
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : RECOMMENDED enabled: true
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : PreCheck DRC enabled: false
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : CONNECTIVITY_RULES enabled: true.
2026-03-28 23:09:17 +0100: Memory Usage (462000K) : Read in polygons from layers.
2026-03-28 23:09:17 +0100: Memory Usage (464176K) : activ_drw has 23026 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464176K) : activ_pin has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464176K) : activ_mask has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464176K) : activ_filler has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464176K) : activ_nofill has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464176K) : activ_opc has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464304K) : activ_iopc has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464304K) : activ_noqrc has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464432K) : biwind_drw has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464432K) : biwind_opc has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464560K) : pemwind_drw has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464688K) : gatpoly_drw has 21539 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464688K) : gatpoly_pin has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464688K) : gatpoly_filler has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464816K) : gatpoly_nofill has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464816K) : gatpoly_opc has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464944K) : gatpoly_iopc has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (464944K) : gatpoly_noqrc has 0 polygons
2026-03-28 23:09:17 +0100: Memory Usage (465200K) : cont_drw has 167163 polygons
